ID,bw,SEX,al,bl,cl,ch
SS1464,48.3,0.0,112.54,,51.29,34.59
SS1465,40.3,0.0,106.69,185.32,54.38,34.67
SS1466,53.0,1.0,,,63.65,
SS1467,51.6,1.0,115.27,206.8,63.72,39.01
SS1468,45.3,1.0,114.2,195.99,56.1,31.57
SS1469,39.2,1.0,107.96,183.03,53.39,30.04
SS146,,,123.82,217.17,64.66,36.62
SS1470,,0.0,107.63,173.31,44.42,29.87
SS1471,65.9,1.0,131.48,222.82,62.17,37.0
SS1472,42.3,1.0,110.79,198.74,,32.0
SS1473,52.4,1.0,,197.81,,34.91
SS1474,41.3,1.0,122.29,201.52,54.96,34.41
SS1475,47.9,1.0,114.89,191.03,,35.74
SS1476,38.1,1.0,109.79,188.36,52.61,33.47
SS1477,,1.0,112.92,195.96,56.25,35.01
SS1478,55.0,1.0,121.12,208.96,60.91,38.67
SS1479,31.3,,100.49,167.49,44.76,30.5
SS147,63.9,1.0,123.51,209.39,55.67,34.29
SS1480,39.6,1.0,109.12,,,31.44
SS1481,69.7,0.0,127.75,226.57,69.99,
SS1482,46.2,1.0,,203.14,59.73,30.49
SS1483,44.9,,113.36,197.59,57.38,32.9
SS1484,,1.0,102.57,179.97,51.14,31.87
SS1485,58.1,,,229.27,69.91,38.36
SS1486,43.6,0.0,110.57,193.12,,30.87
SS1487,46.9,1.0,110.76,190.81,52.64,32.43
SS1488,,1.0,115.86,,58.28,
SS1489,49.1,1.0,116.99,200.43,,
SS148,,,121.51,207.88,59.61,34.73
SS1490,,0.0,103.72,174.89,49.51,28.01
SS1491,,0.0,,217.45,63.44,36.14
SS1492,42.2,,,191.16,51.3,31.84
SS1493,43.5,,108.8,190.13,,29.35
SS1494,48.4,1.0,117.5,200.13,,36.36
SS1495,49.8,1.0,119.03,,56.81,
SS1496,47.8,1.0,120.77,206.17,56.67,35.35
SS1497,,1.0,107.35,185.64,55.8,
SS1498,,1.0,119.72,204.17,57.03,33.44
SS1499,48.9,1.0,122.07,205.34,56.9,34.34
