ID,bw,SEX,al,bl,cl,ch
SS1339,44,0,109.75,194.49,55.84,28.9
SS133,75.5,0,122.18,225.33,65.95,38.11
SS1340,47.6,1,110.48,193.84,55.1,36.47
SS1341,35.1,1,111,180.26,45.01,29.91
SS1342,86.2,0,132.3,239.08,77.28,41.73
SS1343,46,0,115.16,197.89,56.47,31.36
SS1344,42,1,112.56,191.82,55.46,32.84
SS1345,58.2,0,122.62,215.68,63.62,35.52
SS1346,51.8,1,110.94,197.13,61.43,39.23
SS1347,48.4,1,116.5,206.58,61.07,36.86
SS1348,54.4,0,117.89,208.57,62.98,36.98
SS1349,70.5,0,129.6,225.15,69.38,38.35
SS134,57.7,1,121.55,204.34,52.69,34.21
SS1350,57.1,1,124.27,217.62,66.24,42.44
SS1351,65,0,124.27,225.05,69.76,35.66
SS1352,54.6,0,114.68,203.65,60.21,36.96
SS1353,53.7,1,119.23,203.12,58.4,36.08
SS1354,52.6,0,121.6,202.09,54.54,35.79
SS1355,33.4,1,104.78,174.55,47.34,25.18
SS1356,38,1,107.18,183.86,52.06,31.34
SS1357,55.8,1,118,219.03,74.52,48.62
SS1358,55.9,1,116.97,201.9,58.52,36.82
SS1359,50.1,0,114.69,201.55,59.32,34.58
SS135,56.8,1,,,,
SS1360,65.7,0,119.46,220.29,68.07,38.52
SS1361,48.1,1,115.38,199.73,58.36,34.34
SS1362,44.4,1,106.86,195.67,62,31.35
SS1363,39,1,107.19,186.28,53.6,31.76
SS1364,54.7,0,119.03,211.48,63.52,36.66
SS1365,45.2,1,111.78,193.68,55.14,32.16
SS1366,54.7,0,115.25,207.91,64.27,36.31
SS1367,43.8,1,105.62,192.31,58.31,36.68
SS1368,60.2,0,120.91,212.7,63.23,34.31
SS1369,64,0,122.99,218.94,71.07,42
SS136,91.7,0,125.89,228.8,72.41,44.33
SS1370,44.3,0,112.43,188.6,52.61,34.61
SS1371,57.1,0,113.18,205.24,65.7,40.65
SS1372,53.2,1,116.56,205.31,62.66,36.92
SS1373,59.3,0,119.55,214.87,66.44,32.97
SS1374,52,0,119.67,202.79,58.73,33.61
SS1375,44.5,0,119.32,201.13,54.89,37.85
SS1376,45.4,1,114,192.25,53.61,32.97
SS1377,47.5,1,117.27,200.62,56.58,33.61
SS1378,38,1,110.55,183.63,48.44,31.17
SS1379,55.6,0,126.13,216.48,60.97,36.79
SS137,63.7,1,127.13,217.63,62.94,35.79
SS1380,62.5,0,119.87,213.1,63.57,37.17
SS1381,54.7,0,120.17,207.16,56.21,40.76
SS1382,44.9,1,115.36,201.42,59.12,33.73
SS1383,61.6,0,121.17,213.84,63.82,36.92
SS1384,33.7,0,100.84,179.43,47.18,25.75
SS1385,58.2,1,129.1,223.24,65.32,38.51
SS1386,50.7,1,119.1,202.8,55.42,35.48
SS1387,56.8,0,123.81,214.37,62.74,39.18
SS1388,45,1,113.08,194.61,55.86,35.26
SS1389,58.3,0,125.8,208.77,52.99,36.92
